Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3.0,160,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,89 SQM,22icon/categories/area89 SQM,,icon/categories/area89,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Mokattam,2,2.0,120,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,3,2.0,140,No,Apartment,Cash,Ready To Move
"2,760,000",Cairo,New Cairo - El Tagamoa,2,2.0,165,No,Apartment,Cash,Ready To Move
"3,690,000",Cairo,New Cairo - El Tagamoa,3,2.0,210,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,65,No,Apartment,Cash,Ready To Move
"1,200,000",Cairo,Nasr City,2,2.0,120,No,Apartment,Cash,Ready To Move
"30,000Negotiable",,175 SQM,43icon/categories/area175 SQM,,icon/categories/area175,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"1,400,000",Cairo,Nasr City,2,2.0,150,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,82,No,Apartment,Cash,Ready To Move
"3,950,000",Cairo,New Cairo - El Tagamoa,2,2.0,134,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"3,100,000",Cairo,New Cairo - El Tagamoa,3,2.0,160,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Heliopolis,2,1.0,150,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"1,600,000",Cairo,Nasr City,3,1.0,120,No,Apartment,Cash,Ready To Move
"2,750,000Negotiable",,90 SQM,21icon/categories/area90 SQM,,icon/categories/area90,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,New Cairo - El Tagamoa,2,2.0,145,No,Apartment,Cash,Ready To Move
"600,000",Cairo,Badr City,3,2.0,100,No,Apartment,Cash,Ready To Move
"1,550,000",Cairo,New Cairo - El Tagamoa,3,2.0,170,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,123 SQM,32icon/categories/area123 SQM,,icon/categories/area123,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Shorouk City,3,2.0,163,No,Apartment,Cash,Ready To Move
"3,700,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,New Cairo - El Tagamoa,2,2.0,133,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Madinaty,2,1.0,109,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"6,500,000Negotiable",,300 SQM,33icon/categories/area300 SQM,,icon/categories/area300,No,Apartment,Cash,Ready To Move
"3,190,000",Cairo,Zahraa Al Maadi,4,3.0,275,No,Apartment,Cash,Ready To Move
"2,600,000",Cairo,Rehab City,2,1.0,90,No,Apartment,Cash,Ready To Move
"2,500,000",Cairo,Rehab City,2,2.0,140,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,202 SQM,22icon/categories/area202 SQM,,icon/categories/area202,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Mokattam,2,1.0,130,No,Apartment,Cash,Ready To Move
"2,200,000Negotiable",,400 SQM,43icon/categories/area400 SQM,,icon/categories/area400,No,Apartment,Cash,Ready To Move
"2,570,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"4,000,000",Cairo,Nasr City,3,3.0,240,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,New Cairo - El Tagamoa,2,1.0,85,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Mokattam,4,3.0,250,No,Apartment,Cash,Ready To Move
"2,400,000Negotiable",,108 SQM,32icon/categories/area108 SQM,,icon/categories/area108,No,Apartment,Cash,Ready To Move
"3,780,000",Cairo,New Cairo - El Tagamoa,2,2.0,146,No,Apartment,Cash,Ready To Move
"2,400,000",Cairo,Madinaty,2,2.0,89,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,New Cairo - El Tagamoa,3,3.0,165,No,Apartment,Cash,Ready To Move
"4,750,000Negotiable",,196 SQM,42icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
"2,000,000Negotiable",,180 SQM,22icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"2,650,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,New Cairo - El Tagamoa,1,1.0,90,No,Apartment,Cash,Ready To Move
"500,000",Cairo,New Capital City,3,2.0,167,No,Apartment,Cash,Ready To Move
"920,000Negotiable",,120 SQM,21icon/categories/area120 SQM,,icon/categories/area120,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Nasr City,4,2.0,250,No,Apartment,Cash,Ready To Move
"3,850,000Negotiable",,112 SQM,33icon/categories/area112 SQM,,icon/categories/area112,No,Apartment,Cash,Ready To Move
"4,200,000",Cairo,New Cairo - El Tagamoa,2,2.0,152,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Madinaty,3,2.0,109,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Madinaty,2,1.0,92,No,Apartment,Cash,Ready To Move
"1,900,000",Cairo,Obour City,3,2.0,170,No,Apartment,Cash,Ready To Move
"1,850,000Negotiable",,170 SQM,32icon/categories/area170 SQM,,icon/categories/area170,No,Apartment,Cash,Ready To Move
"3,850,000Negotiable",,147 SQM,32icon/categories/area147 SQM,,icon/categories/area147,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,74 SQM,21icon/categories/area74 SQM,,icon/categories/area74,No,Apartment,Cash,Ready To Move
